Date,Time,CPU Package [°C],CPU IA Cores [°C],CPU GT Cores (Graphics) [°C],VR VCC Temperature (SVID) [°C],CPU Package Power [W],IA Cores Power [W],System Agent Power [W],Rest-of-Chip Power [W],PL1 Power Limit (Static) [W],PL2 Power Limit (Static) [W],VR VCC Power (SVID POUT) [W],GPU Temperature [°C],GPU Hot Spot Temperature [°C],GPU Thermal Limit [°C],GPU Power [W],GPU Rail Powers (avg) [W],GPU Core (NVVDD) Input Power (sum) [W],GPU PCIe +12V Input Power [W],GPU 8-pin #1 Input Power [W],GPU Misc0 Input Power [W],GPU Core (NVVDD2) Input Power (sum) [W],GPU Input PP Source Power (sum) [W],GPU Core (NVVDD) Output Power [W],GPU Core (NVVDD) Output Power [W],GPU Core Load [%],GPU Memory Controller Load [%],GPU Video Engine Load [%],GPU Bus Load [%],GPU Memory Usage [%],GPU D3D Usages (avg) [%],GPU D3D Usage [%],GPU Video Decode 0 Usage [%],GPU Video Encode 0 Usage [%],GPU VR Usage [%]
26.3.2025,42:08.3,39,39,38,38,42.16,33.312,6.416,1.43,202,241,40,43.5,50.7,83,13.416,5.665,9.009,2.766,10.475,5.072,8.111,5.14,1.102,3.641,0,13,0,0,8.4,0,0,0,0,0
26.3.2025,42:09.3,39,39,38,38,42.312,33.466,6.418,1.428,202,241,40,43.5,50.7,83,13.464,5.742,9.251,2.754,10.668,5.12,8.328,5.107,1.104,3.608,0,10,0,0,8.4,0,0,0,0,0
26.3.2025,42:10.3,39,39,38,38,42.648,33.819,6.399,1.426,202,241,40,43.5,50.7,83,13.595,5.692,9.181,2.718,10.537,5.024,8.259,5.004,1.109,3.703,0,4,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:11.3,39,39,38,38,43.038,34.205,6.403,1.427,202,241,40,43.5,50.7,83,13.536,5.665,9.131,2.706,10.476,4.988,8.221,4.967,1.104,3.731,0,9,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:12.3,39,39,38,38,42.506,33.665,6.409,1.43,202,241,40,43.5,50.7,83,13.445,5.602,8.995,2.646,10.37,4.977,8.095,4.928,1.106,3.701,0,4,0,0,8.4,0,0,0,0,0
26.3.2025,42:13.3,39,39,38,38,42.576,33.731,6.409,1.427,202,241,40,43.5,50.7,83,13.347,5.644,9.292,2.647,10.446,4.87,8.369,4.738,1.1,3.687,0,5,0,0,8.4,0,0.1,0,0,0
26.3.2025,42:14.3,39,39,38,38,42.384,33.533,6.424,1.431,202,241,40,43.5,50.7,83,13.374,5.617,8.841,2.732,10.374,5.075,7.953,5.167,1.1,3.692,0,5,0,0,8.4,0,0,0,0,0
26.3.2025,42:15.3,39,39,38,38,42.384,33.533,6.424,1.431,202,241,40,43.5,50.7,83,13.39,5.676,8.847,2.815,10.488,5.181,7.972,5.345,1.104,3.654,0,4,0,0,8.4,0,0,0,0,0
26.3.2025,42:16.3,39,39,38,38,42.786,33.905,6.437,1.432,202,241,40,43.5,50.7,83,13.502,5.652,8.881,2.731,10.479,5.146,7.995,5.22,1.106,3.657,0,4,0,0,8.4,0,0,0,0,0
26.3.2025,42:17.3,39,39,38,38,42.723,33.858,6.431,1.429,202,241,40,43.5,50.7,83,13.412,5.703,8.881,2.753,10.591,5.263,7.995,5.352,1.106,3.684,0,14,0,0,8.4,0,0,0,0,0
